Loaded 181 target HCPs
[done 1/181] 040f355f-cd2e-428d-a6ca-5c4c2f92002b: 1 papers, 5 positions, depth=signal_moment, synthesis written
[done 75/181] 6c527b82-de9f-45f7-b82b-df536af54fbc: 10 papers, 50 positions, depth=deep, synthesis written
[done 76/181] 6c88f982-7251-4c5b-9a1f-a14cc1ba1196: 10 papers, 50 positions, depth=deep, synthesis written
[done 77/181] 6e7acc52-2544-4d15-9b9b-625bbb075d8c: 8 papers, 40 positions, depth=deep, synthesis written
[done 78/181] 7034bb27-f8bc-4e83-8b13-91a8a84314e8: 7 papers, 35 positions, depth=deep, synthesis written
[done 79/181] 6ffdaf22-84f8-4f5e-a5e8-3bc164be9949: 9 papers, 45 positions, depth=deep, synthesis written
[done 80/181] 727d2911-4e36-487e-bcb7-00e0416d53d6: 2 papers, 10 positions, depth=signal_moment, synthesis written
[done 81/181] 7353b33e-96cb-4dd2-be0c-9542a59224db: 1 papers, 5 positions, depth=signal_moment, synthesis written
[done 82/181] 71d509c0-95e1-4a8e-b737-71552d31dce1: 8 papers, 40 positions, depth=deep, synthesis written
[done 83/181] 71b51a2d-0f56-434f-abf4-f6755c796eaf: 10 papers, 50 positions, depth=deep, synthesis written
[done 84/181] 71abb337-c930-4c64-bc95-c9d27da9c0c3: 10 papers, 49 positions, depth=deep, synthesis written
[done 85/181] 7216a7d6-a583-466d-8974-157592667767: 5 papers, 25 positions, depth=deep, synthesis written
[done 86/181] 71f7e456-0356-42c0-8589-9595c110ac66: 8 papers, 39 positions, depth=deep, synthesis written
[done 87/181] 7e4e09f8-1916-4336-946a-823b0960c610: 1 papers, 5 positions, depth=signal_moment, synthesis written
[done 88/181] 7839d3e5-c198-4f2e-9af8-24eb01affb03: 4 papers, 20 positions, depth=focused, synthesis written
[done 89/181] 766e355b-3898-4eb8-9f70-d9ecd4736b06: 10 papers, 50 positions, depth=deep, synthesis written
[done 90/181] 7cf1cf4d-fc86-4828-a2af-bdcb7fc78ea8: 6 papers, 28 positions, depth=deep, synthesis written
[done 91/181] 77dae038-df3f-4d00-98f0-66d63917e6a3: 10 papers, 49 positions, depth=deep, synthesis written
[done 92/181] 7ca4327f-752b-41e9-b0e3-04790d2e1a7c: 8 papers, 40 positions, depth=deep, synthesis written
[done 93/181] 753ef7e7-e08c-4195-9bef-ab2b0564af86: 10 papers, 49 positions, depth=deep, synthesis written
[done 94/181] 7dc91f65-3c79-47e3-8475-964a40986a34: 10 papers, 50 positions, depth=deep, synthesis written
[done 95/181] 8317c658-469b-497f-91d2-b80e390e52aa: 2 papers, 10 positions, depth=signal_moment, synthesis written
[done 96/181] 7f353e79-b83a-42ff-bb42-887a2584ec50: 5 papers, 25 positions, depth=deep, synthesis written
[done 97/181] 7efaec17-c95c-4cd2-ae25-834170adcdae: 10 papers, 50 positions, depth=deep, synthesis written
[done 98/181] 80963736-e8d1-4195-bc4a-c24ac93add51: 5 papers, 25 positions, depth=deep, synthesis written
[done 99/181] 83484349-2551-4f0a-b22a-4a80490789f9: 6 papers, 30 positions, depth=deep, synthesis written
[done 100/181] 82894da2-8ecf-4e1c-8a16-6ecd05570960: 7 papers, 35 positions, depth=deep, synthesis written
[done 101/181] 8114e17c-741d-4143-8af1-607cc2912af6: 10 papers, 50 positions, depth=deep, synthesis written
[done 102/181] 8212bf6f-4280-4256-b2c7-644eff8f9843: 10 papers, 50 positions, depth=deep, synthesis written
[done 103/181] 87844aa4-1040-40c4-8170-95b8c4205162: 10 papers, 49 positions, depth=deep, synthesis written
[done 104/181] 86531dba-325c-48e2-a3f5-3339d39a3b87: 10 papers, 49 positions, depth=deep, synthesis written
[done 105/181] 96e415c2-3e9c-49cd-a90c-f05c461a7a02: 1 papers, 5 positions, depth=signal_moment, synthesis written
[done 106/181] 8ecced92-e307-4f6c-906b-77d68205c569: 6 papers, 30 positions, depth=deep, synthesis written
[done 107/181] 90188354-9e4a-4fd0-aa05-7a9b3c9aba11: 10 papers, 50 positions, depth=deep, synthesis written
[done 108/181] 973dec43-5ff7-4095-8404-3a3898cbd2d6: 2 papers, 10 positions, depth=signal_moment, synthesis written
[done 109/181] 96c720ff-5247-49f5-a5ec-88f9f1d29d59: 4 papers, 20 positions, depth=focused, synthesis written
[done 110/181] 91bc38ce-61a1-4636-ab46-0c2dde91ab6e: 10 papers, 49 positions, depth=deep, synthesis written
[done 111/181] 950d5b8a-1aa3-458d-99b4-e214ca0c8ef2: 10 papers, 50 positions, depth=deep, synthesis written
[done 112/181] 9b75e4f1-2a84-4eaa-b1f3-56f6ed0b2ec7: 4 papers, 20 positions, depth=focused, synthesis written
[done 113/181] a1c1f02a-e729-43f6-ac0c-13fd70e531f2: 1 papers, 5 positions, depth=signal_moment, synthesis written
